stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
patong_line_104,"Dcondo Campus Kuku",7.907137216,98.40352997,0,
patong_line_105,"Ban Kuku School",7.908361,98.399987,0,
patong_line_106,"Big C Market Thepkrasattri",7.910465,98.392036,0,
patong_line_107,"Phuket Bus Terminal 2",7.9178462,98.3946883,0,
patong_line_108,"Big C Market Thepkrasattri",7.909134,98.391782,0,
patong_line_109,"Ban Kuku School",7.908610653,98.39966677,0,
patong_line_110,"Dcondo Campus Kuku",7.907166011,98.40369154,0,
patong_line_111,"Soi Thachin",7.90367797623822,98.4098317778341,0,
patong_line_112,"Big C Mini Kingkaew",7.898938,98.410774,0,
patong_line_113,"Baan Natkamon",7.895382,98.406191,0,
patong_line_114,"Phuket Provincial Cooperative Office",7.893408,98.401439,0,
patong_line_115,"Sanamchai",7.889820314,98.39786569,0,
rassada_phi_phi_1,"Rassada Pier",7.8557,98.4013,0,
rassada_phi_phi_2,"Phi Phi Tonsai Pier",7.7407,98.7684,0,
rassada_phi_phi_3,"Phi Phi Tonsai Pier",7.7407,98.7684,0,
rassada_phi_phi_4,"Rassada Pier",7.8557,98.4013,0,
rassada_ao_nang_1,"Rassada Pier",7.8557,98.4013,0,
rassada_ao_nang_2,"Noppharat Thara Pier (Ao Nang)",8.0437,98.818,0,
rassada_ao_nang_3,"Noppharat Thara Pier (Ao Nang)",8.0437,98.818,0,
rassada_ao_nang_4,"Rassada Pier",7.8557,98.4013,0,
bang_rong_koh_yao_1,"Bang Rong Pier",8.0133,98.4186,0,
bang_rong_koh_yao_2,"Koh Yao Noi Pier",8.1122,98.6,0,
bang_rong_koh_yao_3,"Koh Yao Noi Pier",8.1122,98.6,0,
bang_rong_koh_yao_4,"Bang Rong Pier",8.0133,98.4186,0,
chalong_racha_1,"Chalong Pier",7.8281,98.3613,0,
chalong_racha_2,"Racha Yai Island",7.6061,98.3647,0,
chalong_racha_3,"Racha Yai Island",7.6061,98.3647,0,
chalong_racha_4,"Chalong Pier",7.8281,98.3613,0,
